stop_lat,stop_lon,type,multimodal
28.47913,77.442307,Metro,Noida Sector 145(511_NS)
28.468822,77.455101,Metro,Noida Sector 146(512_NS)
28.4594,77.465965,Metro,Noida Sector 147(513_NS)
28.448021,77.476692,Metro,Noida Sector 148(514_NS)
28.456865,77.500298,Metro,Knowledge Park(515_KP)
28.463331,77.508308,Metro,Pari Chowk(516_PC)
28.470879,77.512718,Metro,Alpha 1(517_A1)
28.478374,77.525581,Metro,Delta 1(518_D1)
28.484531,77.536621,Metro,GNIDA Office(519_GO)
28.488651,77.544075,Metro,Depot Station(520_DS)
28.851958,77.088107,Bus,Narela Terminal(DC4539_0)
28.853311,77.088548,Bus,Police Station Narela(DC4540_1)
28.854965,77.089322,Bus,Safiyabad Crossing(DC4541_2)
28.857713,77.092846,Bus,Ramdev Chowk / Pitori Johad(DC4542_3)
28.857684,77.097117,Bus,Narela A-6 / CPJ College(DC4543_4)
28.854724,77.097933,Bus,State Bank Of Allahbad(DC4544_5)
28.851769,77.097906,Bus,Sec A-9 Narela(DC4545_6)
28.851771,77.097849,Bus,Narela Pocket 13 / A-9(DC4546_7)
28.848993,77.098485,Bus,Narela Pocket 13 / A-6(DC4547_8)
28.840804,77.10202,Bus,Raja Harish Chandra Hospital(DC4548_9)
28.837226,77.098578,Bus,Kasturi Ram School(DC4549_10)
28.83657,77.09201,Bus,Munim Ji Ka Bagh(DC4550_11)
28.838193,77.091456,Bus,New Anaj Mandi(DC4551_12)
28.840582,77.090589,Bus,Kurani More(DC4552_13)
28.837755,77.081097,Bus,Prem Nagar Narela(DC4893_14)
28.83657,77.079258,Bus,Maharaja Agrassen School(DC4554_15)
28.833186,77.077052,Bus,Bharat Mata School(DC4555_16)
28.825219,77.069668,Bus,Kaushal Devi Netraheen Ashram(DC4556_17)
28.819549,77.06355,Bus,Sannoth Crossing / Ghoga Crossing(DC5264_18)
28.815434,77.058213,Bus,Delhi Jal Board Bawana(DC4558_19)
28.811811,77.053975,Bus,Jain Bekhunth Mandir(DC4559_20)
28.806738,77.048163,Bus,Bawana JJ Colony CRPF Camp(DC4560_21)
28.758318,77.148305,Bus,Swaroop Nagar GT Road(DC3605_23)
28.75027,77.15075,Bus,Libas Pur GT Road(DC3606_24)
28.7402,77.154,Bus,Sanjay Gandhi Transport Nagar(U01532_25)
28.735084,77.155874,Bus,Mukarba Chowk(DC3607_26)
28.731117,77.158967,Bus,GTK Depot(U01588_27)
28.7257,77.163,Bus,Jahangirpuri GT Road (Metro Station)(U99882A_28)
28.721715,77.166162,Bus,Mahindra Park(DC3655_29)
28.7206,77.1671,Bus,Sarai Pipal Thala(U01698_30)
28.717467,77.169917,Bus,Adarsh Nagar Metro Station(U01747_31)
28.714415,77.172422,Bus,New Sabzi Mandi(U01781_32)
28.7065332223827,77.1792795874857,Bus,Azadpur Terminal (Bara Bagh Road)(U01867_33)
28.7017,77.1831,Bus,Bara Bagh(U01929_34)
28.6995,77.1849,Bus,Gujranwala Town(U01969_35)
28.6971,77.1869,Bus,Telephone Exchange(U02004_36)
28.6954,77.1883,Bus,State Bank Colony(U02033_37)
28.691,77.192,Bus,Gurudwara Nanak Pyau(U02088_38)
28.6882666666667,77.1937,Bus,Rana Pratap Bagh(U02112_39)
28.6848,77.1963,Bus,Gur Mandi(U02138_40)
28.682832,77.197614,Bus,Roop Nagar / Shakti Nagar (GT Road)(U02180_41)
28.677617,77.201567,Bus,Clock Tower(DC0027_42)
28.6733,77.2018,Bus,Roshnara Bagh(U02242_43)
28.669249,77.20455,Bus,Roshnara Road(U02274_44)
28.667538,77.207439,Bus,Ice Factory (Roshanara Road)(U02387_45)
28.667356,77.215047,Bus,St Stephen Hospital(DC0028_46)
